character_name,intelligence,strength,speed,durability,energy_projection,fighting_skills
Aged Genghis (Earth-616),1.9468358988048253,1.0799888165325944,3.8540801394612587,3.832035467134152,4.192833064549224,0.9719345502840967
Algrim (Earth-616),1.6679893525054488,6.5053401008646174,2.7056403556471946,4.89685121373791,1.0100622473570022,4.029848994455048
Alonzo Lincoln (Earth-616),0.8651617676799815,4.137364672913564,3.3980372079781604,5.2765239974825615,0.9293704290823083,4.097766703187048
Andre Mornet (Earth-616),0.918399839606707,5.836073728319083,3.2577503843342415,6.901509988694901,0.973175288177728,1.9456221060678154
Anton Miguel Rodriquez (Earth-616),1.314969042182715,3.546385826132072,1.937725946442569,2.1158200842605797,1.1372517890915952,4.175860277222716
Ape (Morlock) (Earth-616),0.8002124977492956,1.524503396537214,1.887796174527898,2.982577129093503,0.6958431075470639,2.121248598662667
Apocalypse Beast (Earth-616),0.9274314536440073,7.184876118804825,3.835178480126014,6.912190469464035,3.9479491584994157,2.2117209343960766
Aragorn (Earth-616),0.9573209223890452,3.8960230749600093,2.9895926742884904,1.859541982312796,1.0477896032996505,2.982291381903406
Arsenal Alpha (Earth-616),1.0817661057248873,5.913485598720993,3.2294614822399286,7.005862728022004,4.04751307441735,6.072988618965157
Arsenal Beta (Earth-616),1.255210300763646,5.964159635301325,3.139291310370794,7.028576000789733,3.815650309059742,6.059251893521351
B'nee and C'cil (Earth-616),1.4618803203225428,4.3693712412505565,2.970700438456792,4.793354997600588,4.369010288456553,3.1813772375807656
Baby Karen (Earth-616),1.194016922983097,0.9984583562423239,0.9620817937067156,1.2962400973759112,0.6213330105571255,0.7921453619585612
Bernard Hoyster (Earth-616),1.2567686655039805,2.819652199851322,2.156182806390098,6.240038014258171,4.084662763675048,4.091383452441621
Bernie Lachenay (Earth-616),2.530159488002353,0.629478936306082,1.8490555657043843,5.234123958154436,6.040571086650512,0.9567595509913159
Biri (Earth-616),0.731394875466711,1.8862988677338577,2.2538252024916927,2.0832945847833053,0.5238023370440409,2.9197036940500185
Brad Wolfe (Earth-616),1.1768659914983517,6.101017296775573,2.371160092483264,3.9274864718807185,3.04484205111911,2.846727825311607
Braggadoom (Earth-616),1.2523248220276986,6.929591323934761,1.0561630938896853,6.3172413532869145,1.0385288223686657,1.1028360858009718
Brainstorm (Jimmy) (Earth-616),1.0998681538981305,4.204914841780931,2.2002664386682462,2.8531066768749573,3.3305244186696252,1.0588704913306173
Brian Hibbs (Earth-616),0.9135308728713886,4.068149522438399,2.765994375441337,2.9268174895071053,0.6737111356069188,2.3455760192282473
Bruce Banner (Earth-1610),0.9166906495734292,6.852992454495221,2.8161936302917097,5.889106154623411,0.6629336551879601,1.9486349483013417
Caliban (Earth-616),1.2718578983691782,2.471923054735972,2.5338983375645414,1.8942904666105318,3.0323002058541606,2.745449828276147
Carnage (Symbiote) (Earth-1610),1.430276828590813,4.375150910526578,2.0310693754337388,4.212560860873191,1.7833001477440615,1.5798844553049236
Chester Weems (Earth-80360),1.68163692495758,3.138168617640452,1.5226207482447636,4.070761034101039,0.7855803052088137,1.3146495220947836
Chtylok (Earth-616),1.2770234904712818,7.247782233457338,3.1461473203378585,7.059396153376124,0.8419314450709264,2.015877018007814
Curtis Conners (Earth-1610),3.009883908392466,2.7852752169728694,2.29882137455564,3.5429672216935617,1.07521036655556,2.197890255595127
Datavore (Earth-616),1.1360841419523764,0.8315735235940511,5.935326853014589,5.257035655385458,1.191517883057271,0.8632542255128651
David Haller (Earth-616),3.7712921566770867,3.7814157229711025,3.781793954195458,4.051501915526658,6.579185637107409,3.9899365936709237
Death's Head 3.0 (Earth-6216),0.9329334673607265,3.8033146955570345,2.042337531392247,3.193529515316011,1.0765731493810393,2.8311427335428956
Dennis Dunphy (Earth-616),0.983806642912607,4.372361909315979,2.250596425563764,2.6151656905345813,0.8125096126094433,4.7866983257765
Desmond Kline (Earth-616),1.0824236002389225,1.8904836528839768,2.008602265878284,2.0520881268476208,0.8893829512113258,4.1413805240813915
Deuce (Earth-616),0.7571342453630192,2.092576270289752,3.135391989536099,1.8539388054632255,0.9406564616565445,0.7579796341444508
Devil's Heart (Earth-616),1.108082379283089,1.0563898028534697,1.031278328768616,4.154225321017573,5.97542495895829,0.9539168145445712
Diablo (Bear) (Earth-616),0.8166235244357163,3.216915102725671,1.8858209482487243,3.28580951559636,1.2022416203470994,1.9921383196643259
Doombringer (Earth-616),0.9934016816703037,4.160649261707664,2.8902102413091653,2.8919536845209217,0.9264009617954342,3.850144151482356
